audit_id,sequence,split,old_category,new_category,category_changed,old_screening,new_screening,new_visual_reason,old_visual_reason,image_sha256,crop_sha256
001,adapter02_indoor,fit,light fixture,chair,True,uncertain,conflicting,目标为悬挂的白色小方块，椅子类别不符合可见结构。,白色小方块可见，功能细节不足，不能确认灯具。,b9af665a49da0a1355133b7d8cdc407f75ba753d9a0ba738678492e668a9f52c,8e4e514f3f09d09349924ab28747953cc04136e90560d648df9bdf5ebbfd7842
002,bag03_indoor,fit,case,accessory,True,supported,supported,可见黑色带拉链手提小包，与宽泛accessory相容，具体类型仍粗。,黑色带拉链的盒包外形可见；皮革材质不能确认。,647f2b4d89dfc1fc3ce6d7564b8d833997f23ca83b6c96c056fef9de5561a2c1,902717d318f0018691eb62eec3f81331f162d99421428d7089d52189186ac6ae
003,bag04_indoor,fit,earphone,hat,True,uncertain,uncertain,黑色悬挂物细节很暗，不能确认是否为帽子。,框内黑色物体细节较暗，不能确认耳机；按钮数量不可核实。,2e8ee1ed74763c7a4c73f13ea642c6d2928a3154b7f9a043f3f2b3771495e445,14c476f316988ab6b76f8f654d37f292b9216380f733b221bbdf217b2276f46d
004,bag05_indoor,development,hand,package,True,conflicting,supported,可见红色软包装或袋状物，与package宽泛类别相容。,框主要圈住红色织物物体，非手；smooth skin无对应目标证据。,d9e92ced8cd8d5df39b243eae0d78a96e5754822f756ffea67fb8dc78f2ba172,9f82080cf6396521000209bfd0bc33b0eaa75ebfe75ec4d97a7a5933ede4f2dc
005,ball02_indoor,fit,billiard ball,tennis ball,True,supported,conflicting,黑色球体有白色8号标志，不符合网球外观。,黑色球及白色数字圆区可见。,da5d30a40ff5f9af4b9bef13f316a9a7f411d99d06cad252d81eba8d192ecbf3,eb7f1edfc09d90b53acbdf423b5562976e3975115e76bc08de8f280c96bdc46c
006,ball03_indoor,fit,apple,apple,False,uncertain,conflicting,黄色球体可见弯曲接缝，符合球类而非苹果。,黄色球状物可见，但分辨率不足以确认苹果；类别需保守。,e37790e2f2bdcc61b2ab831989fa27a7a3e27911a3f167e0279afe737c4a95b1,093682c04b66d0ea66d351a9dbe6a4df50f0a1df20817816068c8fa124b8eaea
007,ball04_indoor,fit,ball,ball,False,supported,supported,空中黄色圆球清楚可见。,悬空黄色球状物可见。,de4fd6ded288540e5c09e94ec9ad9f078d59d28457975c0eedfae2f42cbc6278,aad8330a7ecbbf3ffd0cb955beef0f8ea6f2265128c71e39b4efa5707f226a3a
008,ball05_indoor,fit,ball,ball,False,supported,supported,手中黄色球体清楚可见。,绿色球状物可见，表面细节较模糊。,90e3cce55be05f51deee0e24f4034bddd4ca19cecdce4b7d9d8395d679764eef,4d1f4e2ac441d8a1b2be9d0f7555e462edc52c7c9ebcb2e7457e822bcb9cafa4
009,ball07_indoor,development,ball,table-tennis-ball,True,supported,conflicting,目标为较大黑色8号球，不符合乒乓球外观和尺度。,黑色球状物及白色数字区域可见。,d06fd51d734d53ffbd68d23c1d5a99de1be0edfc4bbc62c9d2c1da1e2ad704bc,acc31a929c3de169e248bac30d70df3669357a1cc7205883df49731674fee7df
010,ball08_wild,fit,basketball,lightbulb,True,supported,conflicting,橙色球体有篮球分片线，灯泡类别不符。,棕色篮球与球面沟槽可见。,fee0f7b5bd0fbf4f514e2d0ec46b76177b977092a96c90bb9b7d4d29e37ae735,e484eebb7911128e7d6e3efcf0992104eaaeed6baab702372a116bb8bc7e5a15
