anchor_key,sequence,anchor,direction,run_length,native_failed,category_failed,empty_failed,swapped_failed
cup02_indoor_1@0F,cup02_indoor_1,0,forward,1753,True,True,True,True
cup02_indoor_1@50F,cup02_indoor_1,50,forward,1703,True,True,True,True
cup02_indoor_1@100F,cup02_indoor_1,100,forward,1653,True,True,True,True
cup02_indoor_1@150F,cup02_indoor_1,150,forward,1603,True,True,True,True
cup02_indoor_1@200F,cup02_indoor_1,200,forward,1553,True,True,True,True
cup02_indoor_1@250F,cup02_indoor_1,250,forward,1503,True,True,True,True
cup02_indoor_1@300F,cup02_indoor_1,300,forward,1453,True,True,True,True
cup02_indoor_1@350F,cup02_indoor_1,350,forward,1403,True,True,True,True
cup02_indoor_1@400F,cup02_indoor_1,400,forward,1353,True,True,True,True
cup02_indoor_1@450F,cup02_indoor_1,450,forward,1303,True,True,True,True
cup02_indoor_1@500F,cup02_indoor_1,500,forward,1253,True,True,True,True
cup02_indoor_1@550F,cup02_indoor_1,550,forward,1203,True,True,True,True
cup02_indoor_1@600F,cup02_indoor_1,600,forward,1153,True,True,True,True
cup02_indoor_1@650F,cup02_indoor_1,650,forward,1103,True,True,True,True
cup02_indoor_1@700F,cup02_indoor_1,700,forward,1053,True,True,True,True
cup02_indoor_1@750F,cup02_indoor_1,750,forward,1003,True,True,True,True
cup02_indoor_1@800F,cup02_indoor_1,800,forward,953,True,True,True,True
cup02_indoor_1@850F,cup02_indoor_1,850,forward,903,True,True,True,True
cup02_indoor_1@900B,cup02_indoor_1,900,backward,901,True,True,True,True
cup02_indoor_1@958B,cup02_indoor_1,958,backward,959,True,True,True,True
cup02_indoor_1@1006B,cup02_indoor_1,1006,backward,1007,True,True,True,True
cup02_indoor_1@1050B,cup02_indoor_1,1050,backward,1051,True,True,True,True
cup02_indoor_1@1100B,cup02_indoor_1,1100,backward,1101,True,True,True,True
cup02_indoor_1@1150B,cup02_indoor_1,1150,backward,1151,True,True,True,True
cup02_indoor_1@1200B,cup02_indoor_1,1200,backward,1201,True,True,True,True
cup02_indoor_1@1250B,cup02_indoor_1,1250,backward,1251,True,True,True,True
cup02_indoor_1@1300B,cup02_indoor_1,1300,backward,1301,True,True,True,True
cup02_indoor_1@1350B,cup02_indoor_1,1350,backward,1351,True,True,True,True
cup02_indoor_1@1400B,cup02_indoor_1,1400,backward,1401,True,True,True,True
cup02_indoor_1@1450B,cup02_indoor_1,1450,backward,1451,True,True,True,True
cup02_indoor_1@1500B,cup02_indoor_1,1500,backward,1501,True,True,True,True
cup02_indoor_1@1550B,cup02_indoor_1,1550,backward,1551,True,True,True,True
cup02_indoor_1@1600B,cup02_indoor_1,1600,backward,1601,True,True,True,True
cup02_indoor_1@1650B,cup02_indoor_1,1650,backward,1651,True,True,True,True
cup02_indoor_1@1700B,cup02_indoor_1,1700,backward,1701,True,True,True,True
cup02_indoor_1@1752B,cup02_indoor_1,1752,backward,1753,True,True,True,True
shoes02_indoor_1@0F,shoes02_indoor_1,0,forward,614,True,True,True,True
shoes02_indoor_1@50F,shoes02_indoor_1,50,forward,564,True,True,True,True
shoes02_indoor_1@100F,shoes02_indoor_1,100,forward,514,True,True,True,True
shoes02_indoor_1@150F,shoes02_indoor_1,150,forward,464,True,True,True,True
shoes02_indoor_1@200F,shoes02_indoor_1,200,forward,414,True,True,True,True
shoes02_indoor_1@250F,shoes02_indoor_1,250,forward,364,True,True,True,True
shoes02_indoor_1@300F,shoes02_indoor_1,300,forward,314,False,False,False,False
shoes02_indoor_1@350B,shoes02_indoor_1,350,backward,351,True,True,True,True
shoes02_indoor_1@400B,shoes02_indoor_1,400,backward,401,True,True,True,True
shoes02_indoor_1@450B,shoes02_indoor_1,450,backward,451,True,True,True,True
shoes02_indoor_1@500B,shoes02_indoor_1,500,backward,501,True,True,True,True
shoes02_indoor_1@550B,shoes02_indoor_1,550,backward,551,True,True,True,True
shoes02_indoor_1@613B,shoes02_indoor_1,613,backward,614,True,True,True,True
cube05_indoor_5@0F,cube05_indoor_5,0,forward,492,True,True,True,True
cube05_indoor_5@50F,cube05_indoor_5,50,forward,442,True,True,True,True
cube05_indoor_5@100F,cube05_indoor_5,100,forward,392,True,True,True,True
cube05_indoor_5@150F,cube05_indoor_5,150,forward,342,True,True,True,True
cube05_indoor_5@200F,cube05_indoor_5,200,forward,292,True,True,True,True
cube05_indoor_5@250B,cube05_indoor_5,250,backward,251,False,False,False,False
cube05_indoor_5@295B,cube05_indoor_5,295,backward,296,False,False,False,False
cube05_indoor_5@387B,cube05_indoor_5,387,backward,388,True,True,True,True
cube05_indoor_5@400B,cube05_indoor_5,400,backward,401,True,True,True,True
cube05_indoor_5@450B,cube05_indoor_5,450,backward,451,True,True,True,True
cube05_indoor_5@491B,cube05_indoor_5,491,backward,492,True,True,True,True
shoes02_indoor_2@0F,shoes02_indoor_2,0,forward,111,False,False,False,False
shoes02_indoor_2@50F,shoes02_indoor_2,50,forward,61,False,False,False,False
shoes02_indoor_2@100B,shoes02_indoor_2,100,backward,101,True,True,True,True
shoes02_indoor_2@110B,shoes02_indoor_2,110,backward,111,True,True,True,True
bandlight_indoor_1@0F,bandlight_indoor_1,0,forward,1185,False,True,True,True
bandlight_indoor_1@50F,bandlight_indoor_1,50,forward,1135,False,False,True,True
bandlight_indoor_1@100F,bandlight_indoor_1,100,forward,1085,False,False,False,False
bandlight_indoor_1@150F,bandlight_indoor_1,150,forward,1035,False,False,False,False
bandlight_indoor_1@200F,bandlight_indoor_1,200,forward,985,False,False,False,False
bandlight_indoor_1@250F,bandlight_indoor_1,250,forward,935,False,False,False,False
bandlight_indoor_1@300F,bandlight_indoor_1,300,forward,885,False,False,False,False
bandlight_indoor_1@350F,bandlight_indoor_1,350,forward,835,False,False,False,False
bandlight_indoor_1@400F,bandlight_indoor_1,400,forward,785,False,False,False,False
bandlight_indoor_1@450F,bandlight_indoor_1,450,forward,735,False,False,False,False
bandlight_indoor_1@500F,bandlight_indoor_1,500,forward,685,True,True,True,True
bandlight_indoor_1@550F,bandlight_indoor_1,550,forward,635,False,False,False,False
bandlight_indoor_1@600B,bandlight_indoor_1,600,backward,601,False,False,False,False
bandlight_indoor_1@650B,bandlight_indoor_1,650,backward,651,False,False,False,False
bandlight_indoor_1@700B,bandlight_indoor_1,700,backward,701,False,False,False,False
bandlight_indoor_1@750B,bandlight_indoor_1,750,backward,751,False,False,False,False
bandlight_indoor_1@800B,bandlight_indoor_1,800,backward,801,False,True,False,False
bandlight_indoor_1@850B,bandlight_indoor_1,850,backward,851,True,True,True,False
bandlight_indoor_1@900B,bandlight_indoor_1,900,backward,901,True,False,True,False
bandlight_indoor_1@950B,bandlight_indoor_1,950,backward,951,False,False,False,False
bandlight_indoor_1@1000B,bandlight_indoor_1,1000,backward,1001,False,True,False,True
bandlight_indoor_1@1050B,bandlight_indoor_1,1050,backward,1051,True,False,False,False
bandlight_indoor_1@1100B,bandlight_indoor_1,1100,backward,1101,True,True,True,False
bandlight_indoor_1@1150B,bandlight_indoor_1,1150,backward,1151,False,False,False,False
bandlight_indoor_1@1184B,bandlight_indoor_1,1184,backward,1185,False,False,False,False
